batch,dot,zdot,div
508,2.839009522,2.510020629,2.8199447
509,2.663378837,2.098973883,2.375299196
510,3.501919523,1.939334399,1.712740619
511,-0.7611402333,2.858692014,2.814230186
512,2.098698521,-0.03034845013,1.578553795
513,2.246654469,1.398919483,1.167623428
514,3.024928145,1.996967635,2.060994192
515,3.546361824,1.745433868,3.638208375
516,0.9757415031,2.339905607,0.3463510172
517,5.074505043,-0.3997308521,2.308410214
518,2.351093254,1.963527391,1.623683132
519,0.6075518482,2.360255111,2.673119996
520,2.317196664,-0.03077534596,1.400965654
521,1.260743437,2.002074776,3.588932692
522,2.47167178,0.7797476038,1.978760284
523,4.004472382,2.414591979,0.7398249458
524,2.541064575,3.498086612,0.5308920582
525,3.251004657,0.7698387356,1.605131209
526,2.306587519,2.313403313,1.954862722
527,1.367010774,3.890887527,1.918488894
528,2.660154689,2.385753843,1.462786891
529,1.025652669,3.038477978,1.911711146
530,1.829044231,0.09183054697,3.342383022
531,2.45971131,4.833707861,0.8398610752
532,4.265308345,2.432430267,2.895624899
533,2.247924611,2.336259497,2.620364604
534,2.715272426,1.258586723,0.9009091918
535,3.364240174,2.256376702,2.021630292
536,2.68374029,1.218492466,1.570424797
537,0.1704583454,4.014072909,2.130025146
538,1.713027645,5.05342228,1.472553405
539,0.5113206074,2.031301134,1.850639201
540,3.0589084,2.36683518,1.353076002
541,2.448062989,2.518602898,1.77588459
542,0.8021564874,1.541502808,2.182591604
543,1.868738962,5.144421799,1.896570745
544,1.729237636,1.683508604,2.250604505
545,0.590888147,1.128439918,1.877290293
546,0.4004123917,1.395105541,0.9174018486
547,1.710233834,2.827059767,2.748645364
548,1.811411367,1.223719568,1.573992371
549,3.02086322,3.906129467,0.7833973582
550,2.982020983,0.4811827582,3.157173492
551,3.272733347,1.403759342,1.786346476
552,2.950187806,0.07998226534,2.298165715
553,2.604657068,2.188486562,2.792371229
554,0.7112776478,-0.1280434941,2.156134712
555,2.586665804,2.30410634,1.072947073
556,0.840150107,1.834711665,1.684798517
557,1.945412412,-0.6493439635,1.171470928
558,0.1832072796,2.638134319,2.704247901
559,2.675705769,1.925103624,1.335090122
560,0.1769948105,2.831002744,3.079045429
561,3.536249827,2.20183545,1.426756128
562,1.799292888,-2.232582387,2.090108005
563,1.85532684,0.6466652501,3.995197119
564,1.588164569,3.48787938,2.679540052
565,1.260421711,1.383371335,3.275118164
566,3.302825036,2.066610911,2.263420781
567,1.21997269,-0.8665765359,1.059754654
568,2.72943773,0.7096490384,3.518887761
569,2.116872477,0.567927957,2.575870112
570,1.197573222,1.376229022,1.979600299
571,0.9826784071,3.053053129,2.706194301
572,2.020874744,1.06364816,1.04724941
573,2.583423962,0.8672767889,0.750790786
574,3.063762604,0.454737503,2.138168812
575,2.606103561,1.928425626,1.700703741
576,1.293626482,2.51673451,2.452358438
577,2.198881908,0.9994286592,2.356340303
578,2.576755436,-0.1942863049,1.028595696
579,2.134356338,2.116569658,1.814057539
580,3.680233604,1.575407429,-0.217855639
581,1.421410898,1.676509912,2.088218356
582,1.50401216,2.414388199,1.799923965
583,2.842534639,2.596736109,3.157297588
584,2.047897757,-1.830064898,2.077348558
585,1.110286042,1.112989666,2.262919229
586,0.5108278347,2.214888056,2.659709852
587,2.661855144,1.181046508,3.517156984
588,2.355590304,1.576248881,2.954257591
589,2.902066732,3.255848726,1.722585907
590,0.6567890527,2.17970475,1.532875704
591,0.1444312841,1.228390766,2.36185345
